edge_betweenness,degree_centrality,closeness_centrality,weight
0.0014133854420244,0.1468799576943416,0.3480090990126491,9.0
0.0002618941679167,0.117662612374405,0.3060284119146584,6.0
0.0004777911560601,0.1267847699629825,0.3247917228099772,6.0
0.0002618941679167,0.117662612374405,0.3060284119146584,5.0
0.0002618941679167,0.117662612374405,0.3060284119146584,3.0
0.0002137256791833,0.1221575885774722,0.3236549218958977,3.0
0.000607940146782,0.1192490745637229,0.3115543263291016,2.0
0.0002618941679167,0.117662612374405,0.3060284119146584,2.0
0.0001293975396311,0.1181914331041776,0.3152153594273827,2.0
0.0002093900694875,0.1189846641988365,0.3166377269127154,2.0
0.0001971251625933,0.1181914331041776,0.3089773964084117,2.0
0.0002198808566026,0.1177948175568482,0.2904438026194185,2.0
0.0046000759198598,0.1723955579058699,0.3524624326176728,2.0
0.0001433312226279,0.1189846641988365,0.313616295287118,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002639715064536,0.1213643574828133,0.3305922780997119,1.0
0.0003969814017442,0.1255949233209941,0.3294114838349544,1.0
0.0002704155685213,0.1179270227392913,0.3060512880889285,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
9.187840235159074e-05,0.1195134849286091,0.3118164166708063,1.0
0.0001683470436013,0.1179270227392913,0.3117539199716483,1.0
0.0001531159613818,0.1181914331041776,0.3096030934588453,1.0
0.0001526859920059,0.1179270227392913,0.2901718384330378,1.0
0.0001495293008513,0.119381279746166,0.3127229574957851,1.0
0.0001514932814278,0.119381279746166,0.3204763591844061,1.0
0.0001892341639795,0.1183236382866208,0.313436671374114,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002484100695586,0.1184558434690639,0.3157834071102952,1.0
0.0004485708099036,0.1181914331041776,0.3073807138758579,1.0
0.0001656207055073,0.1181914331041776,0.308619144974796,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002169145254692,0.1181914331041776,0.3086787159316594,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0001539817510431,0.1184558434690639,0.3125963075657504,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002417221947693,0.1181914331041776,0.3067298731465053,1.0
0.0009677716625753,0.1299576943416182,0.3415550893941437,1.0
0.0002222657959199,0.1185880486515071,0.3145086641574433,1.0
0.0003452788279263,0.1180592279217345,0.3060627292755362,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0006175739788467,0.1212321523003701,0.3102104497195902,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.000168569969047,0.1196456901110523,0.3136677048559161,1.0
0.0002277727552635,0.1177948175568482,0.2891744702134544,1.0
0.0001875049980467,0.1181914331041776,0.3107496291591589,1.0
0.000248275955437,0.1208355367530407,0.321693273246556,1.0
0.0003334958350393,0.1234796404019037,0.3236104127399719,1.0
0.0001955562732722,0.1183236382866208,0.3147564761561927,1.0
0.0002037319692345,0.1181914331041776,0.3117539199716483,1.0
0.000574740397519,0.1187202538339502,0.3067645717737509,1.0
0.0002922786087947,0.1234796404019037,0.327541315065018,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002021082565381,0.1185880486515071,0.3161691993060135,1.0
0.0005389491712121,0.122025383395029,0.3223460593111956,1.0
0.0001728746764077,0.1185880486515071,0.3155582631709576,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0007895654257234,0.1290322580645161,0.3300076546210303,1.0
0.0002893269859077,0.1181914331041776,0.3065451326086631,1.0
0.0002895683030877,0.1195134849286091,0.3225357583952038,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.000183548253541,0.1179270227392913,0.3130024368230998,1.0
0.0001489600607176,0.1181914331041776,0.3113801750055782,1.0
0.0002618941679167,0.117662612374405,0.3060284119146584,1.0
0.0001631246745909,0.1189846641988365,0.3178163773885726,1.0
